state,year,month,new_cases,new_deaths,year-month,case_id
CO,2022,Oct,19258,110,2022-10,280
CO,2022,Sep,22595,169,2022-09,281
CO,2023,Apr,6479,81,2023-04,282
CO,2023,Feb,12573,69,2023-02,283
CO,2023,Jan,10643,144,2023-01,284
CO,2023,Mar,12208,191,2023-03,285
CO,2023,May,1199,14,2023-05,286
CT,2020,Apr,27816,2633,2020-04,287
CT,2020,Aug,2883,31,2020-08,288
CT,2020,Dec,78028,1139,2020-12,289
CT,2020,Feb,0,0,2020-02,290
CT,2020,Jan,0,0,2020-01,291
CT,2020,Jul,3652,110,2020-07,292
CT,2020,Jun,2719,336,2020-06,293
CT,2020,Mar,4422,85,2020-03,294
CT,2020,May,11616,1272,2020-05,295
CT,2020,Nov,46053,446,2020-11,296
CT,2020,Oct,17823,137,2020-10,297
CT,2020,Sep,4442,41,2020-09,298
CT,2021,Apr,33103,234,2021-04,299
CT,2021,Aug,17083,66,2021-08,300
CT,2021,Dec,132027,372,2021-12,301
CT,2021,Feb,24404,521,2021-02,302
CT,2021,Jan,57550,927,2021-01,303
CT,2021,Jul,7348,16,2021-07,304
CT,2021,Jun,1675,31,2021-06,305
CT,2021,Mar,27878,212,2021-03,306
CT,2021,May,5289,121,2021-05,307
CT,2021,Nov,18567,133,2021-11,308
CT,2021,Oct,11267,109,2021-10,309
CT,2021,Sep,19167,309,2021-09,310
CT,2022,Apr,20862,63,2022-04,311
CT,2022,Aug,18765,139,2022-08,312
CT,2022,Dec,25473,216,2022-12,313
CT,2022,Feb,20032,429,2022-02,314
CT,2022,Jan,155581,802,2022-01,315
CT,2022,Jul,21615,79,2022-07,316
CT,2022,Jun,26791,78,2022-06,317
CT,2022,Mar,11862,283,2022-03,318
CT,2022,May,45697,115,2022-05,319
CT,2022,Nov,12061,109,2022-11,320
CT,2022,Oct,15355,93,2022-10,321
CT,2022,Sep,21903,116,2022-09,322
CT,2023,Apr,2068,42,2023-04,323
CT,2023,Feb,8434,216,2023-02,324
CT,2023,Jan,15935,160,2023-01,325
CT,2023,Mar,4701,113,2023-03,326
CT,2023,May,388,3,2023-05,327
DC,2020,Apr,4875,266,2020-04,328
DC,2020,Aug,1634,21,2020-08,329
DC,2020,Dec,8640,116,2020-12,330
DC,2020,Feb,0,0,2020-02,331
DC,2020,Jan,0,0,2020-01,332
DC,2020,Jul,2078,34,2020-07,333
DC,2020,Jun,1349,80,2020-06,334
DC,2020,Mar,586,11,2020-03,335
DC,2020,May,3555,196,2020-05,336
DC,2020,Nov,4241,43,2020-11,337
DC,2020,Oct,2275,20,2020-10,338
DC,2020,Sep,1249,19,2020-09,339
DC,2021,Apr,3528,45,2021-04,340
DC,2021,Aug,4712,12,2021-08,341
DC,2021,Dec,39772,26,2021-12,342
DC,2021,Feb,3619,97,2021-02,343
DC,2021,Jan,6717,120,2021-01,344
DC,2021,Jul,1503,8,2021-07,345
DC,2021,Jun,344,6,2021-06,346
DC,2021,Mar,3695,41,2021-03,347
DC,2021,May,970,26,2021-05,348
DC,2021,Nov,2445,3,2021-11,349
DC,2021,Oct,2624,13,2021-10,350
DC,2021,Sep,6408,19,2021-09,351
DC,2022,Apr,4340,8,2022-04,352
DC,2022,Aug,2974,17,2022-08,353
